rootfs / rootfs ro,seclabel 0 0
proc /proc proc rw,relatime,gid=3009,hidepid=2 0 0
sysfs /sys sysfs rw,seclabel,relatime 0 0
magisk /sbin tmpfs rw,seclabel,relatime,mode=755 0 0
selinuxfs /sys/fs/selinux selinuxfs rw,relatime 0 0
tmpfs /dev tmpfs rw,seclabel,nosuid,relatime,mode=755 0 0
devpts /dev/pts devpts rw,seclabel,relatime,mode=600 0 0
/dev/block/dm-0 /system ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-1 /vendor ext4 ro,seclabel,relatime,data=ordered 0 0
none /acct cgroup rw,relatime,cpuacct 0 0
debugfs /sys/kernel/debug debugfs rw,seclabel,relatime 0 0
tmpfs /mnt tmpfs rw,seclabel,relatime,mode=755,gid=1000 0 0
none /config configfs rw,relatime 0 0
none /dev/cpuctl cgroup rw,relatime,cpu 0 0
none /dev/freezer cgroup rw,relatime,freezer 0 0
pstore /sys/fs/pstore pstore rw,seclabel,relatime 0 0
tracefs /sys/kernel/debug/tracing tracefs rw,seclabel,relatime 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/cache /cache ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/protect1 /vendor/protect_f ext4 rw,seclabel,nosuid,nodev,noatime,nodelalloc,noauto_da_alloc,commit=1,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/protect2 /vendor/protect_s ext4 rw,seclabel,nosuid,nodev,noatime,nodelalloc,noauto_da_alloc,commit=1,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/nvdata /vendor/nvdata ext4 rw,seclabel,nosuid,nodev,noatime,discard,noauto_da_alloc,data=ordered 0 0
/dev/block/platform/mtk-msdc.0/11230000.msdc0/by-name/persist /vendor/persist ext4 rw,seclabel,nosuid,nodev,noatime,nodelalloc,noauto_da_alloc,commit=1,data=ordered 0 0
adb /dev/usb-ffs/adb functionfs rw,relatime 0 0
tmpfs /storage tmpfs rw,seclabel,relatime,mode=755,gid=1000 0 0
/dev/block/dm-2 /data ext4 rw,seclabel,nosuid,nodev,noatime,noauto_da_alloc,resuid=10010,data=ordered 0 0
magisk /system/lib tmpfs ro,seclabel,relatime,mode=755 0 0
/dev/block/dm-0 /system/lib/android.frameworks.schedulerservice@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.frameworks.sensorservice@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.frameworks.vr.composer@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.audio.common@2.0-util.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.audio.common@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.audio.effect@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.audio@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.bluetooth@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.broadcastradio@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.broadcastradio@1.1.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.camera.common@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.camera.device@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.camera.device@3.2.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.camera.device@3.3.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.camera.provider@2.4.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.cas.native@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.cas@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.configstore-utils.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.configstore@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.contexthub@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.drm@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.gatekeeper@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.gnss@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.graphics.allocator@2.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
/dev/block/dm-0 /system/lib/android.hardware.graphics.bufferqueue@1.0.so ext4 ro,seclabel,relatime,data=ordered 0 0
