major minor  #blocks  name

   7        0      11356 loop0
 254        0    1048576 zram0
 179        0   30535680 mmcblk0
 179        1       3072 mmcblk0p1
 179        2       5120 mmcblk0p2
 179        3      10240 mmcblk0p3
 179        4      10240 mmcblk0p4
 179        5        512 mmcblk0p5
 179        6        512 mmcblk0p6
 179        7      16384 mmcblk0p7
 179        8      16384 mmcblk0p8
 179        9       8192 mmcblk0p9
 179       10      10240 mmcblk0p10
 179       11        512 mmcblk0p11
 179       12       2048 mmcblk0p12
 179       13       6144 mmcblk0p13
 179       14       8192 mmcblk0p14
 179       15       5120 mmcblk0p15
 179       16       5120 mmcblk0p16
 179       17        512 mmcblk0p17
 179       18      49152 mmcblk0p18
 179       19       1024 mmcblk0p19
 179       20      32768 mmcblk0p20
 179       21      16384 mmcblk0p21
 179       22      37376 mmcblk0p22
 179       23     524288 mmcblk0p23
 179       24    3145728 mmcblk0p24
 179       25     409600 mmcblk0p25
 179       26   26193408 mmcblk0p26
 179       27      16384 mmcblk0p27
 179       96       4096 mmcblk0rpmb
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
 179      128    3874816 mmcblk1
 179      129    3873792 mmcblk1p1
 253        0    3096620 dm-0
 253        1     516068 dm-1
 253        2   26193408 dm-2
